ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
219918_s_at	3.70e-20	1.23e-22	12.5200031	40.969251	1.69253224	ASPM	abnormal spindle microtubule assembly
208767_s_at	3.95e-20	1.33e-22	12.5044064	40.891004	1.47889734	LAPTM4B	lysosomal protein transmembrane 4 beta
203987_at	4.01e-20	1.37e-22	12.4982437	40.86008	1.57923754	FZD6	frizzled class receptor 6
217312_s_at	4.01e-20	1.38e-22	12.4964427	40.851042	1.40395619	COL7A1	collagen type VII alpha 1 chain
204647_at	4.09e-20	1.43e-22	12.4896626	40.817016	1.20493211	HOMER3	homer scaffolding protein 3
216973_s_at	4.73e-20	1.68e-22	12.4580744	40.658439	0.93411063	HOXB7	homeobox B7
218009_s_at	4.73e-20	1.70e-22	12.4562402	40.649228	1.64249609	PRC1	protein regulator of cytokinesis 1
209408_at	4.73e-20	1.72e-22	12.4538729	40.63734	0.98944515	KIF2C	kinesin family member 2C
204779_s_at	5.22e-20	1.92e-22	12.432017	40.527564	0.94093234	HOXB7	homeobox B7
201011_at	5.27e-20	1.96e-22	12.4278157	40.506457	0.85492781	RPN1	ribophorin I
201697_s_at	5.54e-20	2.09e-22	12.4157935	40.446052	1.1029762	DNMT1	DNA (cytosine-5-)-methyltransferase 1
209642_at	5.57e-20	2.12e-22	12.41231	40.428546	1.06666265	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
202095_s_at	5.63e-20	2.17e-22	12.4078813	40.40629	1.38824303	BIRC5	baculoviral IAP repeat containing 5
212353_at	5.84e-20	2.29e-22	12.3974463	40.353843	2.12483372	SULF1	sulfatase 1
201128_s_at	5.84e-20	2.30e-22	12.3963765	40.348466	0.86233382	ACLY	ATP citrate lyase
212276_at	5.90e-20	2.36e-22	-12.3920935	40.326936	-1.86918475	LPIN1	lipin 1
208691_at	6.02e-20	2.43e-22	12.3860258	40.296432	1.33965712	TFRC	transferrin receptor
204170_s_at	6.24e-20	2.55e-22	12.376608	40.249081	1.96820661	CKS2	CDC28 protein kinase regulatory subunit 2
210809_s_at	6.86e-20	2.84e-22	12.3557426	40.144147	3.06566553	POSTN	periostin
216244_at	6.86e-20	2.86e-22	-12.3539603	40.135182	-2.76856642	IL1RN	interleukin 1 receptor antagonist
33494_at	7.53e-20	3.20e-22	-12.3318312	40.023852	-0.75876836	ETFDH	electron transfer flavoprotein dehydrogenase
200043_at	7.53e-20	3.21e-22	12.3315348	40.02236	0.65759844	ERH	enhancer of rudimentary homolog (Drosophila)
201433_s_at	7.96e-20	3.43e-22	12.3182927	39.955721	1.05102857	PTDSS1	phosphatidylserine synthase 1
204767_s_at	7.96e-20	3.47e-22	12.3164142	39.946266	1.07481063	FEN1	flap structure-specific endonuclease 1
202016_at	8.04e-20	3.53e-22	12.3125704	39.926919	1.54453711	MEST	mesoderm specific transcript
211668_s_at	8.69e-20	3.86e-22	12.2952019	39.839484	1.59245922	PLAU	plasminogen activator, urokinase
207714_s_at	8.90e-20	3.99e-22	12.288583	39.806158	1.48809662	SERPINH1	serpin family H member 1
200807_s_at	9.49e-20	4.30e-22	12.2741889	39.733671	0.8981871	HSPD1	heat shock protein family D (Hsp60) member 1
205382_s_at	1.15e-19	5.25e-22	-12.2352104	39.537297	-2.09348098	CFD	complement factor D
210398_x_at	1.17e-19	5.41e-22	-12.2293189	39.507605	-2.03056007	FUT6	fucosyltransferase 6
218364_at	1.17e-19	5.51e-22	-12.2258071	39.489905	-0.98937756	LRRFIP2	LRR binding FLII interacting protein 2
214091_s_at	1.17e-19	5.51e-22	-12.2254864	39.488289	-2.14069904	GPX3	glutathione peroxidase 3
210776_x_at	1.19e-19	5.66e-22	12.2204019	39.462661	0.74106478	TCF3	transcription factor 3
200599_s_at	1.24e-19	5.98e-22	12.2097073	39.408748	0.77984601	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1
221656_s_at	1.41e-19	6.86e-22	-12.1828639	39.273389	-0.81477177	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like
214328_s_at	1.55e-19	7.56e-22	12.1637803	39.177126	0.77365436	HSP90AA1	heat shock protein 90 alpha family class A member 1
211026_s_at	1.57e-19	7.76e-22	-12.1587053	39.151521	-1.64360708	MGLL	monoglyceride lipase
204641_at	1.70e-19	8.47e-22	12.1416007	39.06521	1.28935255	NEK2	NIMA related kinase 2
204242_s_at	1.77e-19	8.90e-22	-12.1317846	39.015667	-0.52783317	ACOX3	acyl-CoA oxidase 3, pristanoyl
212441_at	1.91e-19	9.69e-22	-12.11533	38.932603	-1.25192765	KIAA0232	KIAA0232
211161_s_at	1.91e-19	9.76e-22	12.1139209	38.925489	2.16365201	COL3A1	collagen type III alpha 1 chain
209018_s_at	2.04e-19	1.05e-21	-12.0990004	38.85015	-0.72544515	PINK1	PTEN induced putative kinase 1
203744_at	2.68e-19	1.42e-21	12.0413346	38.55882	1.55372498	HMGB3	high mobility group box 3
208091_s_at	2.68e-19	1.42e-21	12.0409927	38.557092	1.23787438	VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1
218585_s_at	2.68e-19	1.42e-21	12.0407945	38.55609	1.51528754	DTL	denticleless E3 ubiquitin protein ligase homolog
207173_x_at	2.90e-19	1.55e-21	12.0234663	38.468499	2.37030257	CDH11	cadherin 11
218910_at	2.99e-19	1.61e-21	-12.0156226	38.428843	-0.60770944	ANO10	anoctamin 10
201348_at	2.99e-19	1.63e-21	-12.0142731	38.42202	-2.11613801	GPX3	glutathione peroxidase 3
200901_s_at	3.01e-19	1.65e-21	12.0116371	38.408692	0.74079996	M6PR///PHC1	mannose-6-phosphate receptor, cation dependent///polyhomeotic homolog 1
221856_s_at	3.12e-19	1.72e-21	-12.003235	38.366205	-0.70365032	FAM63A	family with sequence similarity 63 member A
202023_at	3.38e-19	1.88e-21	11.9859362	38.278717	1.10139542	EFNA1	ephrin A1
205133_s_at	3.87e-19	2.17e-21	11.9576707	38.135717	1.06717501	HSPE1	heat shock protein family E (Hsp10) member 1
203213_at	4.18e-19	2.36e-21	11.9412459	38.052596	1.38671184	CDK1	cyclin dependent kinase 1
219281_at	5.12e-19	2.92e-21	-11.9002582	37.845086	-0.54997177	MSRA	methionine sulfoxide reductase A
216640_s_at	5.48e-19	3.15e-21	11.8854015	37.769842	0.80071478	PDIA6	protein disulfide isomerase family A member 6
209714_s_at	5.84e-19	3.38e-21	11.8717436	37.700656	1.30325996	CDKN3	cyclin dependent kinase inhibitor 3
202874_s_at	6.15e-19	3.59e-21	11.8600371	37.641345	1.05982692	ATP6V1C1	ATPase H+ transporting V1 subunit C1
210543_s_at	6.29e-19	3.70e-21	11.8541183	37.611354	1.26406302	PRKDC	protein kinase, DNA-activated, catalytic polypeptide
204768_s_at	6.60e-19	3.91e-21	11.8431	37.555517	0.83867094	FEN1	flap structure-specific endonuclease 1
220962_s_at	6.60e-19	3.94e-21	-11.8419242	37.549558	-1.16651281	PADI1	peptidyl arginine deiminase 1
220610_s_at	6.63e-19	4.01e-21	-11.8382786	37.531081	-0.76912145	LRRFIP2	LRR binding FLII interacting protein 2
211935_at	6.63e-19	4.02e-21	11.8380389	37.529866	0.88873232	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1
218356_at	7.14e-19	4.36e-21	11.8221987	37.449574	0.78146957	MRM2	mitochondrial rRNA methyltransferase 2
212219_at	7.70e-19	4.73e-21	11.8061274	37.368094	0.86462518	PSME4	proteasome activator subunit 4
206605_at	7.76e-19	4.80e-21	-11.8032301	37.353403	-2.7742189	ENDOU	endonuclease, poly(U) specific
201920_at	8.21e-19	5.12e-21	11.7907622	37.290177	1.09269668	SLC20A1	solute carrier family 20 member 1
207332_s_at	8.28e-19	5.20e-21	11.7877051	37.274673	1.26148616	TFRC	transferrin receptor
203510_at	8.84e-19	5.59e-21	11.7736538	37.203402	1.46369332	MET	MET proto-oncogene, receptor tyrosine kinase
206453_s_at	8.91e-19	5.68e-21	-11.7706536	37.188183	-1.14154007	NDRG2	NDRG family member 2
221020_s_at	9.26e-19	5.98e-21	11.7606511	37.137439	1.28337464	SLC25A32	solute carrier family 25 member 32
201327_s_at	9.26e-19	5.98e-21	11.7605311	37.13683	1.05705373	CCT6A	chaperonin containing TCP1 subunit 6A
203913_s_at	9.68e-19	6.30e-21	-11.7506614	37.086754	-2.52516482	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
219588_s_at	9.76e-19	6.40e-21	11.7474489	37.070453	0.88806887	NCAPG2	non-SMC condensin II complex subunit G2
203046_s_at	9.76e-19	6.44e-21	11.7463177	37.064713	0.86845397	TIMELESS	timeless circadian clock
210399_x_at	1.08e-18	7.19e-21	-11.7247518	36.955265	-1.61471521	FUT6	fucosyltransferase 6
205644_s_at	1.09e-18	7.27e-21	11.7227632	36.945171	0.90811539	SNRPG	small nuclear ribonucleoprotein polypeptide G
212895_s_at	1.16e-18	7.82e-21	-11.7085248	36.872892	-0.74973713	ABR	active BCR-related
218552_at	1.34e-18	9.05e-21	-11.6801343	36.728735	-1.21837545	ECHDC2	enoyl-CoA hydratase domain containing 2
201774_s_at	1.38e-18	9.40e-21	11.6728737	36.69186	0.86611949	NCAPD2	non-SMC condensin I complex subunit D2
218594_at	1.43e-18	9.82e-21	11.6642656	36.648137	0.95508096	HEATR1	HEAT repeat containing 1
202635_s_at	1.45e-18	1.00e-20	11.6606246	36.629643	0.92242026	POLR2K	RNA polymerase II subunit K
209507_at	1.56e-18	1.09e-20	11.6447298	36.548894	0.76677677	RPA3	replication protein A3
212274_at	1.58e-18	1.11e-20	-11.6409089	36.52948	-1.84912726	LPIN1	lipin 1
207802_at	1.67e-18	1.18e-20	-11.6290065	36.469	-4.24697509	CRISP3	cysteine rich secretory protein 3
206550_s_at	1.68e-18	1.19e-20	11.6273037	36.460347	0.933831	NUP155	nucleoporin 155
211883_x_at	1.86e-18	1.33e-20	-11.6053205	36.348619	-1.60352682	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
214359_s_at	1.95e-18	1.40e-20	11.5954087	36.298234	0.8302628	HSP90AB1	heat shock protein 90 alpha family class B member 1
201202_at	1.95e-18	1.41e-20	11.593828	36.290198	1.25853675	PCNA	proliferating cell nuclear antigen
214431_at	1.97e-18	1.43e-20	11.5914883	36.278304	1.06034613	GMPS	guanine monophosphate synthase
211882_x_at	2.02e-18	1.48e-20	-11.5848317	36.24446	-1.97279128	FUT6	fucosyltransferase 6
201188_s_at	2.44e-18	1.80e-20	11.546947	36.051802	0.84640869	ITPR3	inositol 1,4,5-trisphosphate receptor type 3
208787_at	2.66e-18	1.97e-20	11.5293582	35.962328	0.9307369	MRPL3	mitochondrial ribosomal protein L3
204033_at	2.77e-18	2.07e-20	11.5198908	35.914159	1.18830118	TRIP13	thyroid hormone receptor interactor 13
221729_at	2.80e-18	2.10e-20	11.5167835	35.898349	2.08690022	COL5A2	collagen type V alpha 2 chain
37892_at	2.92e-18	2.20e-20	11.5078274	35.852776	2.40469749	COL11A1	collagen type XI alpha 1 chain
219722_s_at	3.03e-18	2.31e-20	-11.4986047	35.805842	-1.34187794	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3
217315_s_at	3.03e-18	2.32e-20	-11.4979153	35.802333	-2.35286487	KLK13	kallikrein related peptidase 13
213399_x_at	3.26e-18	2.50e-20	11.4829048	35.725935	0.69820312	RPN2	ribophorin II
218778_x_at	3.32e-18	2.56e-20	-11.4781444	35.701703	-0.73726047	EPS8L1	EPS8 like 1
216237_s_at	3.38e-18	2.62e-20	11.473874	35.679964	1.22773321	MCM5	minichromosome maintenance complex component 5
202715_at	3.49e-18	2.72e-20	11.4665233	35.642543	0.72534421	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
204620_s_at	3.56e-18	2.80e-20	11.4611168	35.615018	2.2042504	VCAN	versican
215076_s_at	3.59e-18	2.84e-20	11.4585475	35.601936	2.09063356	COL3A1	collagen type III alpha 1 chain
206316_s_at	3.69e-18	2.93e-20	11.4520984	35.5691	0.57696767	KNTC1	kinetochore associated 1
205449_at	3.89e-18	3.11e-20	11.4408299	35.51172	0.95147656	SAC3D1	SAC3 domain containing 1
214830_at	4.12e-18	3.31e-20	11.4288857	35.45089	0.98391302	SLC38A6	solute carrier family 38 member 6
208632_at	4.20e-18	3.39e-20	-11.4239431	35.425717	-0.61836938	RNF10	ring finger protein 10
214047_s_at	4.21e-18	3.42e-20	11.422196	35.416818	0.93721843	MBD4	methyl-CpG binding domain 4, DNA glycosylase
200783_s_at	4.37e-18	3.57e-20	11.4139386	35.374758	0.77171315	STMN1	stathmin 1
213378_s_at	4.42e-18	3.63e-20	11.4107317	35.358422	0.73353265	LOC642846///DDX12P///DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like///DEAD/H-box helicase 12, pseudogene///DEAD/H-box helicase 11
200060_s_at	4.72e-18	3.90e-20	11.3969521	35.288224	0.57086476	RNPS1	RNA binding protein with serine rich domain 1
211048_s_at	4.74e-18	3.93e-20	11.3952523	35.279564	0.72083687	PDIA4	protein disulfide isomerase family A member 4
204240_s_at	4.80e-18	4.01e-20	11.3915827	35.260867	1.35292466	SMC2	structural maintenance of chromosomes 2
209106_at	4.82e-18	4.05e-20	-11.3896394	35.250966	-0.87551002	NCOA1	nuclear receptor coactivator 1
218781_at	4.91e-18	4.15e-20	11.3850356	35.227508	0.75335144	SMC6	structural maintenance of chromosomes 6
214710_s_at	4.91e-18	4.20e-20	11.3825768	35.21498	1.43979125	CCNB1	cyclin B1
202633_at	4.91e-18	4.20e-20	11.382428	35.214221	1.06967445	TOPBP1	topoisomerase (DNA) II binding protein 1
208696_at	4.91e-18	4.21e-20	11.3823039	35.213589	0.77846226	CCT5	chaperonin containing TCP1 subunit 5
202870_s_at	5.00e-18	4.31e-20	11.3776011	35.189625	1.54557526	CDC20	cell division cycle 20
213007_at	5.12e-18	4.43e-20	11.3721174	35.161681	1.07331804	FANCI	Fanconi anemia complementation group I
208820_at	5.13e-18	4.46e-20	11.3708107	35.155021	0.89337982	PTK2	protein tyrosine kinase 2
202469_s_at	5.23e-18	4.60e-20	11.3649654	35.125232	0.80460534	CPSF6	cleavage and polyadenylation specific factor 6
209613_s_at	5.23e-18	4.60e-20	-11.3649306	35.125055	-2.28776669	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
218782_s_at	5.44e-18	4.81e-20	11.3562373	35.080749	1.21839906	ATAD2	ATPase family, AAA domain containing 2
218684_at	5.57e-18	4.95e-20	11.3507179	35.052616	1.06231352	LRRC8D	leucine rich repeat containing 8 family member D
218427_at	5.68e-18	5.07e-20	11.3459531	35.028328	0.62982227	SDCCAG3	serologically defined colon cancer antigen 3
216010_x_at	5.70e-18	5.12e-20	-11.3443243	35.020026	-2.02162918	FUT3	fucosyltransferase 3 (Lewis blood group)
218885_s_at	6.13e-18	5.53e-20	-11.3291682	34.942762	-1.19607259	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12
218404_at	6.59e-18	5.97e-20	11.3145102	34.868027	0.81664247	SNX10	sorting nexin 10
213008_at	6.71e-18	6.11e-20	11.3099164	34.844602	0.91855825	FANCI	Fanconi anemia complementation group I
203362_s_at	7.26e-18	6.65e-20	11.2937085	34.761949	1.23768681	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
218726_at	7.76e-18	7.14e-20	11.2799552	34.691803	0.81192805	HJURP	Holliday junction recognition protein
211465_x_at	7.76e-18	7.17e-20	-11.279029	34.687079	-1.41546684	FUT6	fucosyltransferase 6
205930_at	7.94e-18	7.38e-20	11.2735085	34.65892	0.65025647	GTF2E1	general transcription factor IIE subunit 1
205073_at	7.96e-18	7.43e-20	-11.2720853	34.651659	-0.80874194	CYP2J2	cytochrome P450 family 2 subfamily J member 2
218191_s_at	8.13e-18	7.63e-20	-11.2669515	34.625471	-0.76096564	LMBRD1	LMBR1 domain containing 1
204825_at	8.13e-18	7.66e-20	11.2662891	34.622092	1.25537645	MELK	maternal embryonic leucine zipper kinase
212323_s_at	8.65e-18	8.19e-20	-11.2532937	34.555795	-0.59108264	VPS13D	vacuolar protein sorting 13 homolog D
201506_at	8.74e-18	8.32e-20	11.2503162	34.540603	1.83623279	TGFBI	transforming growth factor beta induced
201755_at	9.04e-18	8.70e-20	11.2416452	34.496361	0.65123378	MCM5	minichromosome maintenance complex component 5
204146_at	9.04e-18	8.70e-20	11.2416093	34.496178	1.06268122	RAD51AP1	RAD51 associated protein 1
204092_s_at	9.04e-18	8.72e-20	11.2411724	34.493949	0.79825257	AURKA	aurora kinase A
218888_s_at	9.45e-18	9.16e-20	11.231691	34.445568	1.41956532	NETO2	neuropilin and tolloid like 2
221203_s_at	9.66e-18	9.41e-20	11.2265385	34.419275	0.95809489	YEATS2	YEATS domain containing 2
222126_at	9.90e-18	9.72e-20	-11.2202957	34.387415	-0.80421453	AGFG2	ArfGAP with FG repeats 2
209464_at	9.90e-18	9.73e-20	11.2201226	34.386532	1.06523927	AURKB	aurora kinase B
213895_at	1.03e-17	1.01e-19	-11.2120652	34.34541	-2.01350172	EMP1	epithelial membrane protein 1
202734_at	1.04e-17	1.03e-19	-11.208116	34.325253	-1.27500407	TRIP10	thyroid hormone receptor interactor 10
203759_at	1.05e-17	1.04e-19	-11.20678	34.318434	-0.81976177	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
222036_s_at	1.06e-17	1.06e-19	11.2036219	34.302315	1.34565691	MCM4	minichromosome maintenance complex component 4
200965_s_at	1.11e-17	1.11e-19	-11.1940198	34.253301	-1.74161503	ABLIM1	actin binding LIM protein 1
212807_s_at	1.13e-17	1.15e-19	-11.1884999	34.225123	-1.13403063	SORT1	sortilin 1
204822_at	1.14e-17	1.16e-19	11.1859214	34.21196	1.46980555	TTK	TTK protein kinase
204777_s_at	1.15e-17	1.17e-19	-11.1839155	34.20172	-3.96832656	MAL	mal, T-cell differentiation protein
210471_s_at	1.16e-17	1.19e-19	-11.1812524	34.188124	-0.34496709	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
203878_s_at	1.16e-17	1.19e-19	11.1809551	34.186606	1.61242176	MMP11	matrix metallopeptidase 11
200052_s_at	1.18e-17	1.22e-19	11.1769236	34.166024	0.96186503	ILF2	interleukin enhancer binding factor 2
218813_s_at	1.20e-17	1.24e-19	-11.1732798	34.147421	-1.10731246	SH3GLB2	SH3 domain containing GRB2 like endophilin B2
41037_at	1.25e-17	1.30e-19	11.1636461	34.098233	0.81411786	TEAD4	TEA domain transcription factor 4
201417_at	1.28e-17	1.34e-19	11.1582228	34.070541	1.7860851	SOX4	SRY-box 4
209902_at	1.30e-17	1.37e-19	11.1544795	34.051426	0.54740783	ATR	ATR serine/threonine kinase
203083_at	1.33e-17	1.40e-19	11.1496354	34.026689	1.51718149	THBS2	thrombospondin 2
218663_at	1.37e-17	1.45e-19	11.1432019	33.993835	0.68605446	NCAPG	non-SMC condensin I complex subunit G
200959_at	1.42e-17	1.51e-19	11.1353189	33.953576	0.72066451	FUS	FUS RNA binding protein
218069_at	1.45e-17	1.54e-19	11.1308929	33.930971	0.52505817	DCTPP1	dCTP pyrophosphatase 1
209903_s_at	1.46e-17	1.57e-19	11.1277656	33.914998	1.04268463	ATR	ATR serine/threonine kinase
